10.63 1355.5 62.654
10.68 1358.6 62.109
10.73 1361.7 61.565
10.78 1364.7 61.022
10.83 1367.8 60.48
10.88 1370.8 59.939
10.93 1373.8 59.398
10.98 1376.7 58.859
11.03 1379.7 58.321
11.08 1382.6 57.783
11.13 1385.4 57.247
11.18 1388.3 56.711
11.23 1391.1 56.177
11.28 1393.9 55.643
11.33 1396.7 55.11
11.38 1399.4 54.578
11.43 1402.1 54.047
11.48 1404.8 53.516
11.53 1407.5 52.987
11.58 1410.1 52.458
11.63 1412.7 51.93
11.68 1415.3 51.403
11.73 1417.9 50.877
11.78 1420.4 50.351
11.83 1422.9 49.827
11.88 1425.4 49.303
11.93 1427.8 48.779
11.98 1430.3 48.257
12.03 1432.7 47.735
12.08 1435 47.214
12.13 1437.4 46.694
12.18 1439.7 46.174
12.23 1442 45.655
12.28 1444.3 45.137
12.33 1446.5 44.62
12.38 1448.7 44.103
12.43 1450.9 43.587
12.48 1453.1 43.071
12.53 1455.2 42.556
12.58 1457.4 42.042
12.63 1459.4 41.528
12.68 1461.5 41.015
12.73 1463.5 40.503
12.78 1465.6 39.991
12.83 1467.5 39.48
12.88 1469.5 38.969
12.93 1471.4 38.459
12.98 1473.3 37.95
13.03 1475.2 37.441
13.08 1477.1 36.932
13.13 1478.9 36.424
13.18 1480.7 35.917
13.23 1482.5 35.41
13.28 1484.3 34.904
13.33 1486 34.398
13.38 1487.7 33.893
13.43 1489.4 33.388
13.48 1491.1 32.884
13.53 1492.7 32.38
13.58 1494.3 31.876
13.63 1495.9 31.373
13.68 1497.4 30.871
13.73 1499 30.369
13.78 1500.5 29.867
13.83 1501.9 29.366
13.88 1503.4 28.865
13.93 1504.8 28.365
13.98 1506.2 27.865
14.03 1507.6 27.365
14.08 1509 26.866
14.13 1510.3 26.367
14.18 1511.6 25.869
14.23 1512.9 25.371
14.28 1514.2 24.873
14.33 1515.4 24.376
14.38 1516.6 23.879
14.43 1517.8 23.382
14.48 1518.9 22.886
14.53 1520.1 22.39
14.58 1521.2 21.894
14.63 1522.2 21.399
14.68 1523.3 20.904
14.73 1524.3 20.409
14.78 1525.3 19.915
14.83 1526.3 19.42
14.88 1527.3 18.926
14.93 1528.2 18.433
14.98 1529.1 17.939
15.03 1530 17.446
15.08 1530.9 16.953
15.13 1531.7 16.46
15.18 1532.5 15.968
15.23 1533.3 15.476
15.28 1534.1 14.984
15.33 1534.8 14.492
15.38 1535.5 14
15.43 1536.2 13.509
15.48 1536.9 13.018
15.53 1537.5 12.526
15.58 1538.1 12.036
15.63 1538.7 11.545
15.68 1539.3 11.054
15.73 1539.8 10.564
15.78 1540.3 10.073
15.83 1540.8 9.5831
15.88 1541.3 9.093
15.93 1541.7 8.6031
15.98 1542.2 8.1132
16.03 1542.5 7.6235
16.08 1542.9 7.1339
16.13 1543.3 6.6443
16.18 1543.6 6.1549
16.23 1543.9 5.6656
16.28 1544.1 5.1763
16.33 1544.4 4.6871
16.38 1544.6 4.198
16.43 1544.8 3.7089
16.48 1545 3.22
16.53 1545.1 2.731
16.58 1545.3 2.2421
16.63 1545.4 1.7533
16.68 1545.4 1.2644
16.73 1545.5 0.77562
16.78 1545.5 0.28684
16.83 1545.5 -0.20194
16.88 1545.5 -0.69071
16.883 1545.5 -0.71515
16.883 1545.5 -0.71765
17.383 1543.9 -5.5738
17.516 1543.1 -6.368
17.63 1542.4 -6.9164
17.758 1541.4 -7.4147
17.904 1540.3 -7.8547
18.08 1538.9 -8.2417
18.31 1537 -8.5704
18.648 1534 -8.8234
19.148 1529.6 -8.9262
19.648 1525.1 -8.9148
20.148 1520.7 -8.9138
20.648 1516.2 -8.9118
21.148 1511.8 -8.9099
21.648 1507.3 -8.908
22.148 1502.9 -8.906
22.648 1498.4 -8.9041
23.148 1494 -8.9022
23.648 1489.5 -8.9002
24.148 1485.1 -8.8981
24.648 1480.6 -8.8961
25.148 1476.2 -8.8941
25.648 1471.7 -8.8921
26.148 1467.3 -8.8901
26.648 1462.8 -8.8881
27.148 1458.4 -8.8861
27.648 1453.9 -8.8841
28.148 1449.5 -8.8821
28.648 1445.1 -8.8801
29.148 1440.6 -8.8781
29.648 1436.2 -8.8761
30.148 1431.8 -8.8741
30.648 1427.3 -8.8721
31.148 1422.9 -8.8701
31.648 1418.4 -8.8681
32.148 1414 -8.8661
32.648 1409.6 -8.8641
33.148 1405.1 -8.8622
33.648 1400.7 -8.8602
34.148 1396.3 -8.8582
34.648 1391.9 -8.8562
35.148 1387.4 -8.8543
35.648 1383 -8.8523
36.148 1378.6 -8.8503
36.648 1374.2 -8.8484
37.148 1369.7 -8.8464
37.648 1365.3 -8.8444
38.148 1360.9 -8.8425
38.648 1356.5 -8.8405
39.148 1352 -8.8386
39.648 1347.6 -8.8366
40.148 1343.2 -8.8347
